nome,instagram,já_foi_abordado
eunapoliscalcados_e_confeccoes,https://www.instagram.com/eunapoliscalcados_e_confeccoes/,Sim
oticaspupilaeunapolis,https://www.instagram.com/oticaspupilaeunapolis/,Sim
iurischaffner.odontologia,https://www.instagram.com/iurischaffner.odontologia/,Sim
atelienandaoliveira,https://www.instagram.com/atelienandaoliveira/,Sim
humanizaeunapolisba,https://www.instagram.com/humanizaeunapolisba/,Sim
dragesiely,https://www.instagram.com/dragesiely/,Sim
dr.danylo,https://www.instagram.com/dr.danylo/,Sim
coeodontologiaeestetica,https://www.instagram.com/coeodontologiaeestetica/,Sim
jnodontologiaestetica,https://www.instagram.com/jnodontologiaestetica/,Sim
dra.jessicamoraiis,https://www.instagram.com/dra.jessicamoraiis/,Sim
drvittorino,https://www.instagram.com/drvittorino/,Sim
iluminar.odontologiaeestetica,https://www.instagram.com/iluminar.odontologiaeestetica/,Sim
espacosantapaula,https://www.instagram.com/espacosantapaula/,Sim
julianefmartinss,https://www.instagram.com/julianefmartinss/,Sim
drarutemaciel,https://www.instagram.com/drarutemaciel/,Sim
dra.samaratochetto,https://www.instagram.com/dra.samaratochetto/,Sim
andreirafagnin,https://www.instagram.com/andreirafagnin/,Sim
vinioliviecki,https://www.instagram.com/vinioliviecki/,Sim
belvisoclinica,https://www.instagram.com/belvisoclinica/,Sim
viniciusoliviecki,https://www.instagram.com/viniciusoliviecki/,Sim
clinicaalinepicolotto,https://www.instagram.com/clinicaalinepicolotto/,Sim
drarobsana,https://www.instagram.com/drarobsana/,Sim
royalface.erechim,https://www.instagram.com/royalface.erechim/,Sim
dralarissahollerweger,https://www.instagram.com/dralarissahollerweger/,Sim
dralucianavasconcelos,https://www.instagram.com/dralucianavasconcelos/,Sim
dragrazielabacha,https://www.instagram.com/dragrazielabacha/,Sim
rbodontologia1,https://www.instagram.com/rbodontologia1/,Sim
draprisciladecassiaodontologia,https://www.instagram.com/draprisciladecassiaodontologia/,Sim
brunohlcarvalhodontologia,https://www.instagram.com/brunohlcarvalhodontologia/,Sim
clinicaodontocolet,https://www.instagram.com/clinicaodontocolet/,Sim
dentistalucianoartifon,https://www.instagram.com/dentistalucianoartifon/,Sim
cd.augustopezzini,https://www.instagram.com/cd.augustopezzini/,Sim
lapidairedradaniellipatias,https://www.instagram.com/lapidairedradaniellipatias/,Sim
dr.rafaelfassicollo,https://www.instagram.com/dr.rafaelfassicollo/,Sim
clinicadentz,https://www.instagram.com/clinicadentz/,Sim
sorridennt,https://www.instagram.com/sorridennt/,Sim
drayandracaetano,https://www.instagram.com/drayandracaetano/,Sim
vamossorrirsimoesfilho,https://www.instagram.com/vamossorrirsimoesfilho/,Sim
odontoclinic_jandira,https://www.instagram.com/odontoclinic_jandira/,Sim
sorris.o.s,https://www.instagram.com/sorris.o.s/,Sim
melhorsorrisoj_,https://www.instagram.com/melhorsorrisoj_/,Sim
anre_odontologia,https://www.instagram.com/anre_odontologia/,Sim
paranaclinicaodonto,https://www.instagram.com/paranaclinicaodonto/,Sim
prevdentjaciara,https://www.instagram.com/prevdentjaciara/,Sim
nova_jandira_odontologia,https://www.instagram.com/nova_jandira_odontologia/,Sim
draleanjoletto,https://www.instagram.com/draleanjoletto/,Sim
brulandi_,https://www.instagram.com/brulandi_/,Sim
draliviaoliveira,https://www.instagram.com/draliviaoliveira/,Sim
dra.karimeschumacher,https://www.instagram.com/dra.karimeschumacher/,Sim
dravictoriahulse,https://www.instagram.com/dravictoriahulse/,Sim
draliviacaroline_,https://www.instagram.com/draliviacaroline_/,Sim
zairaesteticaavancada,https://www.instagram.com/zairaesteticaavancada/,Sim
clinicainfinitydrajessica,https://www.instagram.com/clinicainfinitydrajessica/,Sim
daramayumi,https://www.instagram.com/daramayumi/,Sim
drajessicassilva,https://www.instagram.com/drajessicassilva/,Sim
hofclinic.saojose,https://www.instagram.com/hofclinic.saojose/,Sim
santeportoseguro,https://www.instagram.com/santeportoseguro/,Sim
renatamartinsgfisio,https://www.instagram.com/renatamartinsgfisio/,Sim
clinicaportoseguroba,https://www.instagram.com/clinicaportoseguroba/,Sim
providaespacodesaude,https://www.instagram.com/providaespacodesaude/,Sim
stephanieportoseguro,https://www.instagram.com/stephanieportoseguro/,Sim
sublimeclinicadeestetica,https://www.instagram.com/sublimeclinicadeestetica/,Sim
furohumanizadonathm,https://www.instagram.com/furohumanizadonathm/,Sim
clinicamedicalifeclin,https://www.instagram.com/clinicamedicalifeclin/,Sim
centromedicosaomiguelba,https://www.instagram.com/centromedicosaomiguelba/,Sim
dra.karythaalves,https://www.instagram.com/dra.karythaalves/,Sim
draannabrenda,https://www.instagram.com/draannabrenda/,Sim
clinicatrindade,https://www.instagram.com/clinicatrindade/,Sim
draamandagoncalvesm,https://www.instagram.com/draamandagoncalvesm/,Sim
thaysstrindade,https://www.instagram.com/thaysstrindade/,Sim
dra.manuelletrindadefarias,https://www.instagram.com/dra.manuelletrindadefarias/,Sim
dra.tayanetrindade1,https://www.instagram.com/dra.tayanetrindade1/,Sim
draeliudetrindade,https://www.instagram.com/draeliudetrindade/,Sim
claudia.trindade_odontologia,https://www.instagram.com/claudia.trindade_odontologia/,Sim
dr.gutrindade,https://www.instagram.com/dr.gutrindade/,Sim
spacesmileodonto,https://www.instagram.com/spacesmileodonto/,Sim
estetica_andrezabezerra,https://www.instagram.com/estetica_andrezabezerra/,Sim
ohanna_massoterapeuta_estetica,https://www.instagram.com/ohanna_massoterapeuta_estetica/,Sim
espacodiomedeiros,https://www.instagram.com/espacodiomedeiros/,Sim
jennyfergusmaoestudio,https://www.instagram.com/jennyfergusmaoestudio/,Sim
harmonizedental,https://www.instagram.com/harmonizedental/,Sim
dentalclassicsg,https://www.instagram.com/dentalclassicsg/,Sim
lavajato_doms,https://www.instagram.com/lavajato_doms/,Sim
drajoselanesouto,https://www.instagram.com/drajoselanesouto/,Sim
